Rank;P/N;Description;Requests;Qty pcs;Purchase EA (median);DDP EA (median);Purchase Total;DDP Total;Markup % (median);Orders 2026;Order Qty;Order Sell $;Converted;Why useful
1;31460-5;HYDRAULIC TIMER;5;67.0;6050.54;8400.0;414727.0;566800.0;38.8;0;0;0;NO;"часто спрашивают; крупная сумма; заказа не было — зона роста; наценка уже ниже"
2;810-2042/K;ULB 90?DAY BATTERY REPLACEMENT KIT;3;84.0;2220.0;2980.0;178212.16;251440.0;43.8;0;0;0;NO;"повторяющийся спрос; крупная сумма; заказа не было — зона роста"
3;RAA2196-4;SWITCH;3;6.0;20300.0;28000.0;121800.0;164800.0;37.9;0;0;0;NO;"повторяющийся спрос; крупная сумма; заказа не было — зона роста; наценка уже ниже"
4;3036376;FILTER ELEMENT;7;116.0;160.0;320.0;98670.0;147740.0;60.0;0;0;0;NO;"часто спрашивают; крупная сумма; заказа не было — зона роста"
5;CR3524-6-03;RIVET;3;1360.0;65.0;114.0;88820.0;136300.0;69.0;0;0;0;NO;"повторяющийся спрос; крупная сумма; большой объём шт; заказа не было — зона роста"
6;1C7003-3ABE;CUSHION;3;7.0;8704.0;12400.0;63124.0;89900.0;42.5;0;0;0;NO;"повторяющийся спрос; заметная сумма; заказа не было — зона роста"
7;810483-2;SEAL - CAP;5;18.0;1320.0;2010.0;63863.75;87160.0;52.3;0;0;0;NO;"часто спрашивают; заметная сумма; заказа не было — зона роста"
8;90G97;SWITCH;4;6.0;7650.0;11400.0;43100.0;65200.0;52.5;0;0;0;NO;"повторяющийся спрос; заметная сумма; заказа не было — зона роста"
9;2614478;SCREW, MACHINE;8;288.0;106.0;205.0;32304.0;59657.0;78.8;0;0;0;NO;"часто спрашивают; заметная сумма; заказа не было — зона роста; наценка высокая"
10;65C33095-5;GASKET;4;105.0;533.21;800.0;35870.6;54640.0;65.8;0;0;0;NO;"повторяющийся спрос; заметная сумма; заказа не было — зона роста"
11;038845-1;BRACKET-MOUNTING;4;38.0;735.265;1215.0;27492.72;45700.0;68.0;0;0;0;NO;"повторяющийся спрос; заметная сумма; заказа не было — зона роста"
12;1A296-0217HS;COVER-BACK CUSHION;4;14.0;970.0;1605.0;13480.0;22560.0;65.6;0;0;0;NO;"повторяющийся спрос; заметная сумма; заказа не было — зона роста"
13;778000;FILTER;4;96.0;189.95;325.0;12527.45;21410.0;68.6;0;0;0;NO;"повторяющийся спрос; заметная сумма; заказа не было — зона роста"
14;BACN10JR3CFD;NUTPLATE;3;3122.0;2.3;4.3;7280.0;10380.0;87.0;0;0;0;NO;"повторяющийся спрос; большой объём шт; заказа не было — зона роста; наценка высокая"
15;2609573;SHIELD, HEAT;5;14.0;280.0;460.0;3809.7;6138.0;66.7;0;0;0;NO;"часто спрашивают; заказа не было — зона роста"
16;649-411-959-0;CLAMP;5;9.0;85.0;165.0;3636.0;5972.0;78.9;0;0;0;NO;"часто спрашивают; заказа не было — зона роста; наценка высокая"
17;BACN11AL1;NUT;2;250.0;1368.2;2088.7;546680.0;834370.0;68.8;0;0;0;NO;"крупная сумма; заказа не было — зона роста"
18;27325-13;CABLE ASSY;1;2.0;106000.0;148000.0;212000.0;296000.0;39.6;0;0;0;NO;"крупная сумма; заказа не было — зона роста; наценка уже ниже"
19;90010705-1;BRAKE STACK REPLACEMENT;2;3.0;62000.0;85900.0;176000.0;245600.0;39.0;0;0;0;NO;"крупная сумма; заказа не было — зона роста; наценка уже ниже"
20;SG8191-1;PHOTOLUMINESCENT STRIP;2;154.0;1968.29;3000.0;92509.63;141000.0;52.4;0;0;0;NO;"крупная сумма; заказа не было — зона роста"
21;11-10865;AIR FILTER;6;7.0;570.0;915.0;3787.19;6220.0;64.6;1;1.0;680.0;YES;"часто спрашивают; уже покупали у нас — репер"
22;R287P06;NIPPLE;4;21.0;135.0;220.0;5710.0;9340.0;63.6;1;10.0;2500.0;YES;"повторяющийся спрос; уже покупали у нас — репер"
23;332A2341-4;LINK ASSY;4;4.0;1200.0;1955.0;6950.51;10900.0;55.0;1;1.0;2400.0;YES;"повторяющийся спрос; уже покупали у нас — репер"
24;J522P53;REDUCER;4;10.0;81.0;187.5;1540.0;2924.0;88.9;1;4.0;840.0;YES;"повторяющийся спрос; уже покупали у нас — репер; наценка высокая"
25;6839;BULB;4;129.0;0.6;1.85;530.0;1460.0;169.4;1;200.0;460.0;YES;"повторяющийся спрос; уже покупали у нас — репер; наценка высокая"
