P/N;Description;Offer rows;Unique RFQ;Extra variants;ExpR breakdown
3036376;FILTER ELEMENT;7;3;4;{'ExpR19777': 3, 'ExpR20879': 1, 'ExpR26795': 3}
65C26195-100;HINGE;3;1;2;{'ExpR20713': 3}
810-2042/K;ULB 90?DAY BATTERY REPLACEMENT KIT;3;1;2;{'ExpR26608': 3}
A0696;BATTERY BOX ASSY FOR 500-12;3;2;1;{'ExpR18591': 1, 'ExpR26877': 2}
BV5-01258;HOLDER-HOLDER;2;1;1;{'ExpR18636': 2}
16-0095-1;LENS;3;2;1;{'ExpR18667': 2, 'ExpR21531': 1}
ST3367-010WE;PACKING;2;1;1;{'ExpR19126': 2}
778000;FILTER;4;3;1;{'ExpR19817': 1, 'ExpR23762': 2, 'ExpR25539': 1}
A7098A;SPRING;2;1;1;{'ExpR20146': 2}
BACB30YP6K8;BOLT;3;2;1;{'ExpR20706': 2, 'ExpR23991': 1}
NAS1611-111;PACKING;2;1;1;{'ExpR21005': 2}
6839;BULB;4;3;1;{'ExpR22147': 1, 'ExpR24822': 1, 'ExpR26806': 2}
LM321-58;ISOLATOR;2;1;1;{'ExpR22244': 2}
68698;SCREW;2;1;1;{'ExpR22246': 2}
68697;CAP;2;1;1;{'ExpR22247': 2}
68694;ROD;2;1;1;{'ExpR22250': 2}
69-87818-1;BRACKET ASSY;2;1;1;{'ExpR22371': 2}
27-17-90011;CUSHION, HEAD;2;1;1;{'ExpR23247': 2}
MS9696-08;BOLT;2;1;1;{'ExpR23273': 2}
BACB30LK3D82;BOLT;2;1;1;{'ExpR23349': 2}
AS3209-140;PACKING;3;2;1;{'ExpR24342': 2, 'ExpR24346': 1}
1327M70P01;BOLT;2;1;1;{'ExpR24669': 2}
9109M73P04;NUT;2;1;1;{'ExpR24671': 2}
CD01068F2;FILTER;2;1;1;{'ExpR24980': 2}
EV949000;FILTER;2;1;1;{'ExpR25344': 2}
15800-246;SEAL;2;1;1;{'ExpR25629': 2}
P196698;FILTER;2;1;1;{'ExpR26807': 2}
CR3223-5-3;RIVET;2;1;1;{'ExpR27008': 2}
