#;P/N;Description;Requests;Qty pcs;Purchase Price EA (median);DDP Price EA (median);Purchase Total;DDP Total;Markup % (median EA)
1;2614478;SCREW, MACHINE;8;288.0;106.0;205.0;32304.0;59657.0;93.4
2;3036376;FILTER ELEMENT;7;116.0;160.0;320.0;98670.0;147740.0;100.0
3;11-10865;AIR FILTER;6;7.0;570.0;915.0;3787.19;6220.0;60.5
4;31460-5;HYDRAULIC TIMER;5;67.0;6050.54;8400.0;414727.0;566800.0;38.8
5;810483-2;SEAL - CAP;5;18.0;1320.0;2010.0;63863.75;87160.0;52.3
6;2609573;SHIELD, HEAT;5;14.0;280.0;460.0;3809.7;6138.0;64.3
7;649-411-959-0;CLAMP;5;9.0;85.0;165.0;3636.0;5972.0;94.1
8;BACC30BL8;COLLAR;4;690.0;8.0;16.7;7520.0;13600.0;108.7
9;7577741;FILTER;4;224.0;23.125;49.0;5656.25;10310.0;111.9
10;BACB30PN4-6;BOLT;4;205.0;11.0;20.0;2220.0;4090.0;81.8
11;9048156;SEAL;4;155.0;27.655;47.0;4415.5;7420.0;70.0
12;6839;BULB;4;129.0;0.6;1.85;530.0;1460.0;208.3
13;65C33095-5;GASKET;4;105.0;533.21;800.0;35870.6;54640.0;50.0
14;778000;FILTER;4;96.0;189.95;325.0;12527.45;21410.0;71.1
15;2-256S317-60;PACKING;4;96.0;12.92;25.0;1371.76;2555.0;93.5
16;411N1521-2B;LATCH;4;58.0;372.155;610.0;1483.67;2440.0;63.9
17;AS3237-06;BOLT;4;47.0;8.33;16.5;648.2;1312.5;98.1
18;65-90305-85;FILTER MAINTENANCE KIT;4;45.0;92.0;164.0;4140.0;7420.0;78.3
19;038845-1;BRACKET-MOUNTING;4;38.0;735.265;1215.0;27492.72;45700.0;65.2
20;65-90305-88;KIT - CFM56-7 FUEL PUMP FILTER;4;35.0;234.0;390.0;8690.0;14350.0;66.7
21;65-90305-24;FILTER MAINTENANCE KIT;4;26.0;329.475;545.0;7975.5;13180.0;65.4
22;AS1895-7-200;SEAL;4;22.0;27.96;67.5;704.01;1635.0;141.4
23;141A6076-1;PIN;4;21.0;1265.0;1930.0;12190.24;19560.0;52.6
24;R287P06;NIPPLE;4;21.0;135.0;220.0;5710.0;9340.0;63.0
25;2668571-6;PACKING;4;18.0;27.0;62.0;862.0;1669.0;129.6
