Rank;P/N;Description;Requests;Qty pcs;Purchase EA (median);DDP EA (median);Purchase Total;DDP Total;Markup % (median);Orders 2026;Order Qty;Order Sell $;Converted
1;BACN11AL1;NUT;2;250.0;1368.2;2088.7;546680.0;834370.0;68.8;0;0.0;0.0;NO
2;31460-5;HYDRAULIC TIMER;5;67.0;6050.54;8400.0;414727.0;566800.0;38.8;0;0.0;0.0;NO
3;27325-13;CABLE ASSY;1;2.0;106000.0;148000.0;212000.0;296000.0;39.6;0;0.0;0.0;NO
4;810-2042/K;ULB 90?DAY BATTERY REPLACEMENT KIT;3;84.0;2220.0;2980.0;178212.16;251440.0;43.8;0;0.0;0.0;NO
5;90010705-1;BRAKE STACK REPLACEMENT;2;3.0;62000.0;85900.0;176000.0;245600.0;39.0;0;0.0;0.0;NO
6;69-36694-14;HOLDER ASSY;1;1.0;165000.0;210000.0;165000.0;210000.0;27.3;0;0.0;0.0;NO
7;RAA2196-4;SWITCH;3;6.0;20300.0;28000.0;121800.0;164800.0;37.9;0;0.0;0.0;NO
8;3036376;FILTER ELEMENT;7;116.0;160.0;320.0;98670.0;147740.0;60.0;0;0.0;0.0;NO
9;SG8191-1;PHOTOLUMINESCENT STRIP;2;154.0;1968.29;3000.0;92509.63;141000.0;52.4;0;0.0;0.0;NO
10;CR3524-6-03;RIVET;3;1360.0;65.0;114.0;88820.0;136300.0;69.0;0;0.0;0.0;NO
11;65C80736-185;KIT TRACK;1;1.0;86000.0;122000.0;86000.0;122000.0;41.9;0;0.0;0.0;NO
12;3885057-2;DUCT;1;1.0;74167.5;108000.0;74167.5;108000.0;45.6;0;0.0;0.0;NO
13;65-47951Y5;SCUFF PLATE;1;6.0;12100.0;17800.0;72600.0;106800.0;47.1;0;0.0;0.0;NO
14;314-2162-1;PANEL ASSY;1;2.0;36000.0;51100.0;72000.0;102200.0;41.9;0;0.0;0.0;NO
15;2606703;PLATE, PRESSURE;2;7.0;8150.0;11800.0;68900.0;100600.0;42.6;0;0.0;0.0;NO
16;5000-1-01A-2396;RESTRAINT ASSY;1;5.0;12700.0;18800.0;63500.0;94000.0;48.0;0;0.0;0.0;NO
17;2028M21P02;COUPLING;1;3.0;22000.0;31200.0;66000.0;93600.0;41.8;0;0.0;0.0;NO
18;1C7003-3ABE;CUSHION;3;7.0;8704.0;12400.0;63124.0;89900.0;42.5;0;0.0;0.0;NO
19;CBR8260-123;KIT;2;7.0;8500.0;12050.0;63400.0;89600.0;41.9;0;0.0;0.0;NO
20;FO45/CW/BCAC;LAMP;1;40.0;1440.0;2200.0;57600.0;88000.0;52.8;0;0.0;0.0;NO
21;69-58822-3;ROD ASSY;1;2.0;31000.0;44000.0;62000.0;88000.0;41.9;0;0.0;0.0;NO
22;65-53844-26;TRACK;1;1.0;60197.18;88000.0;60197.18;88000.0;46.2;0;0.0;0.0;NO
23;810483-2;SEAL - CAP;5;18.0;1320.0;2010.0;63863.75;87160.0;52.3;0;0.0;0.0;NO
24;105021;FLANGED FLEXIBLE SLEEVE;1;1.0;63000.0;86000.0;63000.0;86000.0;36.5;0;0.0;0.0;NO
25;113A9309-1;BUSHING-PIVOT BOLT;3;17.0;2810.0;4280.0;54420.0;84160.0;52.3;0;0.0;0.0;NO
26;7377543;BRAKE LININGS;1;300.0;180.0;280.0;54000.0;84000.0;55.6;0;0.0;0.0;NO
27;65-2346-5;SNUBBER ASSY;1;3.0;20300.0;28000.0;60900.0;84000.0;37.9;0;0.0;0.0;NO
28;65-47951-13;PLATE;1;1.0;60898.66;84000.0;60898.66;84000.0;37.9;0;0.0;0.0;NO
29;67839;CARTRIDGE VALVE ASSY;3;17.0;3058.78;4800.0;55070.24;81610.0;56.9;0;0.0;0.0;NO
30;352A1547P1;MOUNT;1;4.0;13200.0;18800.0;52800.0;75200.0;42.4;0;0.0;0.0;NO
