Rank;P/N;Description;RFQ count;Offer rows;Qty pcs;Purchase EA (median);DDP EA (median);Purchase Total;DDP Total;Markup % (median);Price source;Suppliers used;Orders 2026;Order Qty;Order Sell $;Converted;Why useful;DDP raw all rows;BOS DDP dropped
1;BACN10JR3CFD;NUTPLATE;3;3;3122.0;2.3;4.3;7280.0;10380.0;87.0;PROPONENT/WENCOR;WENCOR;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); большой объём шт; заказа не было — зона роста; наценка высокая; цена с портала";10380.0;0
2;CR3524-6-03;RIVET;3;3;1360.0;65.0;114.0;88820.0;136300.0;69.0;OTHER;BOS, MARKET;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); крупная сумма; большой объём шт; заказа не было — зона роста";136300.0;0
3;BACC30BL8;COLLAR;4;4;690.0;8.0;16.7;7520.0;13600.0;91.9;OTHER;BOS, MARKET;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); большой объём шт; заказа не было — зона роста; наценка высокая";13600.0;0
4;411N1527-1;PAD;3;3;344.0;94.25;164.0;10283.0;17448.0;73.5;BOS_ONLY;BOS;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); заказа не было — зона роста; наценка высокая; только BOS — осторожно";17448.0;0
5;2614478;SCREW, MACHINE;8;8;288.0;106.0;205.0;32304.0;59657.0;78.8;DISTRIBUTOR;AVIALL, BOS;0;0.0;0.0;NO;"часто спрашивают; заметная сумма; заказа не было — зона роста; наценка высокая";59657.0;0
6;7577741;FILTER;4;4;224.0;23.125;49.0;5656.25;10310.0;104.0;PROPONENT/WENCOR;WENCOR;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); заказа не было — зона роста; наценка высокая; цена с портала";10310.0;0
7;65-49571-22;GASKET;3;3;149.0;121.0;210.0;10212.52;17200.0;69.7;BOS_ONLY;BOS;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); заказа не было — зона роста; только BOS — осторожно";17200.0;0
8;CR3524-6-04;RIVET;3;3;135.0;43.0;74.0;5999.5;10405.0;73.8;BOS_ONLY;BOS;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); заказа не было — зона роста; наценка высокая; только BOS — осторожно";10405.0;0
9;1024366-311BHV;BUMPER-ENDBAY;3;3;120.0;270.0;480.0;33300.0;45700.0;63.9;DISTRIBUTOR;BOS, SATAIR;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); заметная сумма; заказа не было — зона роста";45700.0;0
10;65C33095-5;GASKET;4;4;105.0;173.975;295.0;8598.0;14640.0;69.7;PROPONENT/WENCOR;WENCOR;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); BOS отсечён ≈$40,000; заказа не было — зона роста; цена с портала";54640.0;40000.0
11;A35789-2;SPRING;3;3;105.0;36.0;70.0;5775.0;10200.0;80.6;DISTRIBUTOR;AVIALL, BOS;0;0.0;0.0;NO;"повторяющийся спрос (≥3 RFQ); заказа не было — зона роста; наценка высокая";10200.0;0
12;31460-5;HYDRAULIC TIMER;5;5;67.0;6050.54;8400.0;414727.0;566800.0;38.8;PROPONENT/WENCOR;WENCOR;0;0.0;0.0;NO;"часто спрашивают; крупная сумма; заказа не было — зона роста; наценка уже ниже; цена с портала";566800.0;0
