Rank;P/N;Description;Requests;Qty pcs;Purchase EA (median);DDP EA (median);Purchase Total;DDP Total;Markup % (median);Orders 2026;Order Qty;Order Sell $;Converted
1;2614478;SCREW, MACHINE;8;288.0;106.0;205.0;32304.0;59657.0;78.8;0;0.0;0.0;NO
2;3036376;FILTER ELEMENT;7;116.0;160.0;320.0;98670.0;147740.0;60.0;0;0.0;0.0;NO
3;11-10865;AIR FILTER;6;7.0;570.0;915.0;3787.19;6220.0;64.6;1;1.0;680.0;YES
4;31460-5;HYDRAULIC TIMER;5;67.0;6050.54;8400.0;414727.0;566800.0;38.8;0;0.0;0.0;NO
5;810483-2;SEAL - CAP;5;18.0;1320.0;2010.0;63863.75;87160.0;52.3;0;0.0;0.0;NO
6;2609573;SHIELD, HEAT;5;14.0;280.0;460.0;3809.7;6138.0;66.7;0;0.0;0.0;NO
7;649-411-959-0;CLAMP;5;9.0;85.0;165.0;3636.0;5972.0;78.9;0;0.0;0.0;NO
8;90G97;SWITCH;4;6.0;7650.0;11400.0;43100.0;65200.0;52.5;0;0.0;0.0;NO
9;65C33095-5;GASKET;4;105.0;533.21;800.0;35870.6;54640.0;65.8;0;0.0;0.0;NO
10;038845-1;BRACKET-MOUNTING;4;38.0;735.265;1215.0;27492.72;45700.0;68.0;0;0.0;0.0;NO
11;1A296-0217HS;COVER-BACK CUSHION;4;14.0;970.0;1605.0;13480.0;22560.0;65.6;0;0.0;0.0;NO
12;778000;FILTER;4;96.0;189.95;325.0;12527.45;21410.0;68.6;0;0.0;0.0;NO
13;141A6076-1;PIN;4;21.0;1265.0;1930.0;12190.24;19560.0;54.3;0;0.0;0.0;NO
14;65-90305-88;KIT - CFM56-7 FUEL PUMP FILTER;4;35.0;234.0;390.0;8690.0;14350.0;64.6;0;0.0;0.0;NO
15;BACC30BL8;COLLAR;4;690.0;8.0;16.7;7520.0;13600.0;91.9;0;0.0;0.0;NO
16;65-90305-24;FILTER MAINTENANCE KIT;4;26.0;329.475;545.0;7975.5;13180.0;65.6;0;0.0;0.0;NO
17;9247;SCREW;4;4.0;1848.0;2850.0;7194.0;11108.0;54.3;0;0.0;0.0;NO
18;332A2341-4;LINK ASSY;4;4.0;1200.0;1955.0;6950.51;10900.0;55.0;1;1.0;2400.0;YES
19;7577741;FILTER;4;224.0;23.125;49.0;5656.25;10310.0;104.0;0;0.0;0.0;NO
20;R287P06;NIPPLE;4;21.0;135.0;220.0;5710.0;9340.0;63.6;1;10.0;2500.0;YES
21;9048156;SEAL;4;155.0;27.655;47.0;4415.5;7420.0;81.7;0;0.0;0.0;NO
22;65-90305-85;FILTER MAINTENANCE KIT;4;45.0;92.0;164.0;4140.0;7420.0;78.3;0;0.0;0.0;NO
23;995000-01;TOOL-OXYGEN MANUAL RELEASE;4;10.0;400.0;660.0;4000.0;6600.0;65.0;0;0.0;0.0;NO
24;BACB30PN4-6;BOLT;4;205.0;11.0;20.0;2220.0;4090.0;81.7;0;0.0;0.0;NO
25;762096;WASHER;4;4.0;510.0;850.0;2040.0;3400.0;66.7;0;0.0;0.0;NO
26;J522P53;REDUCER;4;10.0;81.0;187.5;1540.0;2924.0;88.9;1;4.0;840.0;YES
27;2-256S317-60;PACKING;4;96.0;12.92;25.0;1371.76;2555.0;82.2;0;0.0;0.0;NO
28;411N1521-2B;LATCH;4;58.0;372.155;610.0;1483.67;2440.0;65.0;0;0.0;0.0;NO
29;S8990-266;PACKING;4;14.0;61.0;140.0;1210.26;2326.0;129.5;0;0.0;0.0;NO
30;2668571-6;PACKING;4;18.0;27.0;62.0;862.0;1669.0;107.0;0;0.0;0.0;NO
